dictionary_id	entry	slug	source_filename
2	aia 2	aia-2	aiare.wav
3	aiarewu	aiarewu	aiarewu.wav
5	aimo	aimo	taimo.webm
6	aiwo	aiwo	aiwo.webm
7	aka1	aka1	aka.wav
8	aka2	aka2	aka.wav
9	aka3	aka3	aka.wav
10	akagado	akagado	akadadoji.webm
11	akedudo	akedudo	akedudo.webm
12	akigu kodu	akigu-kodu	akigudodu.webm
13	akirimi	akirimi	akirimi.webm
15	ako 2	ako-2	ako.webm
15	ako 2	ako-2	ako03.webm
16	ako jodo	ako-jodo	akojodo.webm
17	akododu	akododu	akododu.webm
18	akudo	akudo	akudo.webm
20	amo (pl. amoe)	amo-pl-amoe	amo.wav
24	apido	apido	apido.wav
25	apido (vrt. ape apibo)	apido-vrt-ape-apibo	apido.wav
26	apido ai	apido-ai	apidoAi02.wav
26	apido ai	apido-ai	apidoai.wav
27	apidoro	apidoro	apidoro.wav
27	apidoro	apidoro	apidoro02.wav
28	aredo (taredo)	aredo-taredo	aredo.webm
28	aredo (taredo)	aredo-taredo	aredo01.webm
29	arego	arego	arego.wav
29	arego	arego	arego01.wav
35	aria meriri	aria-meriri	ariameririri.webm
36	arigao (pl. arigae ou arigaodoge)	arigao-pl-arigae-ou-arigaodoge	arigao01.wav
38	aroe eceba	aroe-eceba	aroeeceba.webm
39	aroe medubo	aroe-medubo	aroemedubo.webm
40	aroia	aroia	aroia.webm
43	arudae	arudae	arudae.webm
44	atu (pl. atuie)	atu-pl-atuie	atu.wav
47	atugodo	atugodo	atugodo.webm
48	awagu	awagu	awagu.webm
48	awagu	awagu	awagu01.wav
50	awarare	awarare	awarare.webm
51	awu	awu	awu.wav
51	awu	awu	awu01.wav
52	ba 1	ba-1	ba.webm
53	ba 2	ba-2	ba.webm
54	ba 3	ba-3	ba.webm
55	ba 4	ba-4	ba.webm
56	bai	bai	bai.webm
56	bai	bai	bai01.webm
56	bai	bai	iwai.wav
59	bakaigo	bakaigo	bakaiga01.wav
60	bakuru	bakuru	bakuru.webm
60	bakuru	bakuru	bakuru01.wav
