id	entry	ipa	pos	definition	example_sent	scientific_name	wiki_link	pic_link	comment	audio	created_at	marked
1	aerega	aeɾega	LEX	cérebro, tutano, medula óssea							13/04/2026	true
2	aia 2	aia	LEX	círculo, centro da cabeça, circunferência; redondo							13/04/2026	true
3	aiarewu	aiaˈɾew	LEX	redondo							13/04/2026	true
4	aidu	aidːɯ	LEX	vontade, intenção, querer, desejo, amor, afeto, desejar, gostar, estimar, amar							13/04/2026	true
5	aimo	aimːo	LEX	banhar-se	emode taimo = ele vão vbanhar-se						13/04/2026	true
6	aiwo	aiwo	LEX	olhada, visão, observação; olhar, ver, observar	akaiwo pemegado iquera ji ardiwawo						13/04/2026	true
7	aka1	ˈaka	LEX	novo, coisa nova ou gente nova							13/04/2026	true
8	aka2	ˈaka	S	variedade de gambá							13/04/2026	true
9	aka3	ˈaka	S	fígado	itaga = meu fígado	fígado	https://pt.wikipedia.org/wiki/Fígado#/media/Ficheiro:Leber_Schaf.jpg	https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Leber_Schaf.jpg/960px-Leber_Schaf.jpg	É a maior glândula e o maior órgão maciço do corpo humano.		13/04/2026	true
10	akagado	akadado dʒi		observar	akagado ji = observe-o						13/04/2026	true
11	akedudo	akeˈdːudːʌ	LEX	acabar, dar fim	ire imaragadae akedudo = eu terminei meu trabalho						13/04/2026	true
12	akigu kodu	akigu kodu	LEX	algodão							13/04/2026	true
13	akirimi	akiɾimi	LEX	voltar							13/04/2026	true
14	akirodo	akiɾodːʌ	LEX	trocar, comprar, vender							13/04/2026	true
15	ako 2	ako 2	LEX	voz, fala, súplica, canto, resposta, som; falar, dizer, responder, declarar, cantar, soar, tocar							13/04/2026	true
16	ako jodo	ako dʒodo	V	mastigar							13/04/2026	true
17	akododu	akododu	S	tocado, reunido							13/04/2026	true
18	akudo	akudːʌ	VC	limpar, varrer, esfriar							13/04/2026	true
19	amirewu	amiˈɾew	S	pão, bolo							13/04/2026	true
20	amo (pl. amoe)	amːo	LEX	tapiti, roedor, coelho							13/04/2026	true
21	amugodu	amuˈgodːɯ	LEX	descanso iminente, morte iminente, satisfação, estar próximo a descansar, a morrer							13/04/2026	true
22	ao1	ao	LEX	cabelo, copa de árvore, ponta, fim							13/04/2026	true
23	aora	aoɾa	LEX	cabeça							13/04/2026	true
24	apido	apidːʌ	LEX	nome de um espírito, palha							13/04/2026	true
25	apido (vrt. ape apibo)	apido	LEX	palmeira acuri; símbolo do clã dos Apiborege, da metade dos Tugarege							13/04/2026	true
26	apido ai	apidːʌ ai		palha							13/04/2026	true
27	apidoro	apidoɾo	S	palha							13/04/2026	true
28	aredo (taredo)	aɾedo	VC	pular, saltar, copular, assaltar, atacar							13/04/2026	true
29	arego	aɾego		correr							13/04/2026	true
30	aregodu	aɾeˈgodːɯ	LEX	chegada, chegar	itaregoduwo = para eu chegar						13/04/2026	true
31	ari1	ˈaɾi	LEX	espírito e herói lendário; Um dos atores da representação dos Meridoge Aroe (ou Aridoge Aroe)							13/04/2026	true
32	ari2	ˈaɾi	LEX	figueira ou fruta de marmelada							13/04/2026	true
33	ari3	ˈaɾi	LEX	lua; mês			https://pt.wikipedia.org/wiki/Lua	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/FullMoon2010.jpg/960px-FullMoon2010.jpg			13/04/2026	true
34	aria	aɾia	LEX	panela grande							13/04/2026	true
35	aria meriri	aɾia meɾiɾi		panela de ferro							13/04/2026	true
36	arigao (pl. arigae ou arigaodoge)	aɾigao	LEX	cachorro							13/04/2026	true
37	aroe	aɾoe	LEX	coisa leve, alma, espírito, fantasma, finado, antepassado, ator. O que é material ou espiritual pertinente aos processos funerários							13/04/2026	true
38	aroe eceba	aɾoe etʃeba	LEX	gavião real (harpia)		Harpia harpyja	https://pt.wikipedia.org/wiki/Gavião-real	https://upload.wikimedia.org/wikipedia/commons/3/3b/Harpia_harpyja_001_800.jpg			13/04/2026	true
39	aroe medubo	Aɾoe medubo	S	furacão							13/04/2026	true
40	aroia	aɾoia	S	tecido, nome da rede de pesca ritual							13/04/2026	true
41	aru	aɾu	LEX	folha, magreza, finura, fragilidade, respeito, pegar							13/04/2026	true
42	aru2	aɾu	V	pegar	imode aru piji = vou pegar						13/04/2026	true
43	arudae	aɾudae									13/04/2026	true
44	atu (pl. atuie)	atu	LEX	endocarpo de coco, concha grande, pequena cerâmica em forma de concha, cápsula de semente de tabaco, caroço de piqui, caroço de manga, cartucho, colher, bala							13/04/2026	true
45	atuge	atuge	LEX	marimbondo, abelha							13/04/2026	true
46	atugo	atugo	LEX	pinta, desenho, pintura, tatuagem, escritura							13/04/2026	true
47	atugodo	atuˈgodːʌ	LEX	pintar, desenhar, escrever							13/04/2026	true
48	awagu	awagu	LEX	cobra							13/04/2026	true
49	awara	awaɾa	LEX	caminho, trilho, estrada, rua, rasto de cobra							13/04/2026	true
50	awarare	awaɾaɾe		igual a uma estrada							13/04/2026	true
51	awu	awu		este, isto							13/04/2026	true
52	ba 1	ba	LEX	ação, agir							13/04/2026	true
53	ba 2	ba	LEX	choupana, aldeia							13/04/2026	true
54	ba 3	ba	LEX	folíolo de broto da babaçu, estojo peniano quotidiano, tipo de coroa							13/04/2026	true
55	ba 4	ba	LEX	ovo, testículo				https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Coturnix_coturnix_eggs.jpg/500px-Coturnix_coturnix_eggs.jpg			13/04/2026	true
56	bai	bai	ADV	de repente							13/04/2026	true
58	baiporo	baipoɾo	LEX	vão da porta ou da janela de uma casa							13/04/2026	true
